,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Delaware
7,Florida
8,Georgia
9,Hawaii
10,Idaho
11,Illinois
12,Indiana
13,Iowa
14,Kansas
15,Kentucky
16,Louisiana
17,Maryland
18,Massachusetts
19,Michigan
20,Minnesota
21,Mississippi
22,Missouri
23,Montana
24,Nebraska
25,Nevada
26,New Hampshire
27,New Mexico
28,North Dakota
29,Oregon
30,Pennsylvania
31,Rhode Island
32,South Dakota
33,Tennessee
34,Texas
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
