,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,genre,kind
8,mois,month
9,laisser,let
10,car,because
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,devrait,should
17,longtemps,long time
18,heures,hours
19,vont,will
20,pendant,while
21,revoir,meet again
22,aucune,any
23,place,square
24,parle,speak
25,compris,understood
26,savais,knew
27,étaient,were
28,attention,Warning
29,voici,here is
30,pourrais,could
31,affaire,case
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,mis,placed
62,belle,beautiful
63,droit,law
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,eau,water
69,attendez,Wait
70,parti,left
71,boulot,job
72,arrêter,Stop
73,dirait,would say
74,compte,account
75,donne,given
76,loin,far
77,fin,end
78,croire,believe
79,gros,large
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play

84,bureau,office
