Tagalog,English
ang,The
sa,In
ng,of
hindi,No.
ako,I
ka,Ka
at,and
mga,mga
ay,Ay
lang,lang
ba,Ba
ito,This
siya,She is
kung,If
para,Para
isang,a
si,si
ano,what
kayo,Yours
dito,Here
alam,Know
may,May
tayo,Let's go
pero,But
lahat,Everything
pa,Pa
nga,nga
gusto,Want
oo,Yes
ni,ni
niya,he
wala,Nothing
natin,Let's go
naman,Naman
o,o
ngayon,now
kami,We are
sige,All right
namin,We are
sila,They are
akong,Ako
kailangan,Need
bakit,Why
yan,Yan
kaya,So
nyo,Nyo
ikaw,you
anong,What
di,di
akin,Me
iyon,That is
talaga,Really
tao,person
kang,Kang
walang,Nothing
sabihin,Say
mong,Mong
isa,one
kong,Kong
nang,nang
sya,Sya
yun,Yun
niyo,niyo
aking,My
dahil,Because
nya,Nya
huwag,Don't
nasa,NASA
yung,Yung
iyo,yours
sino,Who
nila,nila
kita,We are
diyos,God
meron,There
sir,Sir
sabi,Says
buhay,alive
okay,Okay
saan,Where
rin,Rin
salamat,Thanks
wag,Don't
bang,bang
to,To
siyang,He is
kahit,Even
umalis,leave
dapat,should
din,Din
iyong,Your
araw,day
siguro,Maybe
po,Po
doon,There
eh,Eh
wood,Wood
iyan,That's it
nelson,Nelson
paano,How
gawin,do
kay,Kay
kayong,Yours
noong,when
mundo,world
oh,Oh
hoy,Hey
iba,Other
kaibigan,Friends
tama,Right
tulad,Like
pumunta,Go
teka,Wait
nating,Let's go
mr.,MR.
y,y
tapos,Done
ibig,Love
nakita,seen
kapag,When
ginagawa,doing
kasi,because
taon,year
nasaan,Where
maging,be
mula,From
tingnan,see
mas,MAS
puwede,Can
max,Max
pala,Pala
bago,before
sinabi,said
itong,This
gabi,night
nandito,Here
ating,Our
muna,Muna
tungkol,About
kaniya,him
reggie,Reggie
sana,I wish
bahay,Home
magandang,Good
totoo,True
oras,Time
ninyo,you
parang,Parang
inyo,yours
buong,whole
kanya,her
sinasabi,saying
kasama,included
ha,Ha
pangalan,Name
ayaw,Don't
lamang,Just
anak,son
inyong,Your
igik,ikik
bilis,Speed
maganda,nice
tubig,water
nito,its
galing,Awesome
baka,cow
rancho,Rancho
pag,pag
gagawin,Do
bata,Child
ibang,Other
makita,see
ginawa,made
tayong,Tayo
todd,todd
ayos,All right
maraming,Many
yo,Yo
season,Season
marami,Many
pang,Pang
halika,Come on
bagay,thing
mukhang,Looks like
ah,Ah
bagong,New
lugar,place
kaming,We
palabas,Show
nangyayari,happening
nangyari,happened
kanyang,her
panahon,Time
sayo,Yours
rito,Here
elliot,Elliot
man,Man
ngunit,But
talagang,Really
pare,Pare
dalawa,Two
sandali,Wait a moment
loob,inside
niyang,niya
upang,to
patay,Dead
magiging,It will be
pwede,Possible
tingin,Look
trabaho,work
mahal,expensive
pulis,Police
aming,Our
problema,Problem
kunin,Get it
diyan,There
silang,Silang
nakuha,obtained
papa,Papa
naming,Nami
lalaki,Man
taong,person
malaman,Find out
patayin,turn off
labas,Exit
pupunta,Going
sarili,self
mabuti,Good
the,the
heto,Here
party,Party
amin,us
pumatay,kill
sorry,I'm sorry
ama,Father
cyril,Cyril
magaling,Well done
kilala,well known
nakikita,visible
raju,Raju
hanggang,Until
dvd,dvd
makikita,Visible
duke,Duke
hey,Hey
akala,Imaging
puso,heart
pia,Pia
kaniyang,his
yeah,Yeah
sumigaw,shouted
busan,Busan
habang,while
tulong,help
dalawang,Two
zoobi,Zoobi
detective,Detective
kanila,them
doobi,Doobi
uli,Uli
pakiusap,Please
ilang,Some
bukas,Tomorrow
puwedeng,It can be
kamay,hand
s,s
n,n
diba,Diba
tulungan,help
makinig,Listen
dumating,come
malaking,big
espada,SPADA
kamusta,How are you
babae,Woman
pagkain,food
dati,Before
shishio,Shishio
medyo,pretty
dahilan,Reason
alis,Alis
hari,King
malapit,closely
kapatid,sibling
nung,when
kailangang,Must
wow,Wow
noon,Noon
tara,let's go
tumatawa,Laughing
farhan,Farhan
pagkatapos,Then
aso,Dog
naging,It has been
sakin,mine
j-cub,j-cub
makakuha,get
narinig,heard
hello,Hello
parati,Always
susunod,Next
ngayong,Now
dwarf,dwarf
i,i
pinto,Pinto
bumalik,come back
t,t
linggo,Sunday
maaari,can
kelangan,need
masyadong,too
ganon,That's it
kasalanan,Sin
hayaan,Let's go
bilisan,Hurry up
sasabihin,to say
mamatay,die
daan,way
uh,Uh
atin,ours
bilang,number
huli,late
gonna,Gonna
umaga,morning
hayop,animals
tanga,Tanga
kanilang,their
you,You
takbo,Run
kumuha,Get
paraan,way
takot,Fear
sikat,Famous
huling,last
ok,Ok
show,Show
gasps,gasps
maghintay,Wait
beses,times
battosai,Battosai
tatay,Dad
nakatira,lives
lupa,land
bear,Bear
syang,Syang
gustong,Wanting
yaon,That's it
maliit,Small
nawala,lost
mayroon,have
huy,Huy
minsan,Sometimes
dyan,Dyan
lumabas,come out
winters,Winters
miss,Miss
merong,There is
bawat,Each
kyoto,Kyoto
ganito,This is it
katulad,similar
kundi,but
mukha,face
malaki,great
tumahimik,Be quiet
tren,train
kotse,car
opo,Yes
gamit,using
ivan,Ivan
no,No.
my,My
baby,Baby
magsalita,Speak
nakalimutan,forgotten
kaysa,than
matagal,It's been a long time
yes,Yes
of,of
tumingin,look
maaaring,It could be
sigurado,sure
pumasok,come in
ya,Ya
hangin,Wind
taas,Height
masaya,It's fun
tawagan,Call
ilalim,bottom
natatakot,scared
magagawa,Can be done
well,Well
yang,Yang
niyong,nyong
me,Me
asawa,wife
higit,more
dun,Dun
su-an,Su-an
naku,Naku
barking,barking
lalaking,Man
gumawa,make
namang,naman
sumama,come along
nalaman,found out
iniisip,Thinking
j,j
nilang,nila
kitang,Kita
bansa,country
bigyan,give
car,Car
virus,virus
gubat,forest
ulo,head
makuha,get it
ramone,Ramone
ranchhoddas,Ranchhoddas
cub,cub
pano,how
pasensiya,Apologies
eksena,scene
manatili,Stay
maupo,Let's go
gumagawa,makes
naisip,thought
makina,machine
katie,Katie
tweet,Tweet
buksan,Open
likod,back
parehong,Both
a,a
buwan,Moon
nandoon,There
minuto,minutes
mamaya,later
tumigil,stopped
makapaniwala,believe
jeremy,Jeremy
namatay,died
pagkakataon,opportunity
liwanag,Light
guys,Guys
dumbo,Dumbo
kapwa,both
kausapin,Talk
parating,Come on
ability,Ability
kalokohan,bullshit
kumusta,Hello
basta,it just is
ganyan,That's it
halos,Almost
pareho,same
nanay,Mom
wakas,Finally
ipakita,Show
masama,bad
kamahalan,Majesty
pamilya,Family
dugo,Blood
nitong,this
so,So
telepono,Phone
mali,False
boypren,Boypren
siyempre,Of course
kenshin,kenshin
pinatay,killed
ganoon,That's it
nais,want
station,Station
kanina,a while ago
lungsod,city
tigil,stop
thorin,Thorin
mag-alala,worry
chatur,Chatur
agad,immediately
excuse,Excuse
harap,front
kamatayan,death
kayang,Kaya
pangako,Promise
dad,Dad
mabilis,fast
kumain,Eat
hanapin,Look
tawag,Call
gobyerno,government
pakialam,Take care
katsuji,Katsuji
milyong,million
daejeon,Daejeon
ligtas,safe
guwapo,Handsome
laban,Again
saki,Saki
ulit,ulit
card,card
mamamatay,Dying
episode,Episode
fresnoy,Fresnoy
